datetime	product_no	lot_no	serial_no	judgement	logstring
2023-01-01T12:02:17	pn0022	0312	DNpn00220123000	NG	02,DNpn00220123000_inspection_image.bmp,Dent,184,291
2023-01-01T12:02:19	pn0022	0312	DNpn00220123001	NG	02,DNpn00220123001_inspection_image.bmp,Crack,625,186,Dent,630,474
2023-01-01T12:02:20	pn0022	0312	DNpn00220123002	NG	02,DNpn00220123002_inspection_image.bmp,Dent,557,384
2023-01-01T12:02:52	pn0022	0312	DNpn00220123003	NG	02,DNpn00220123003_inspection_image.bmp,Dust,769,345,Crack,422,401
2023-01-01T12:04:47	pn0022	0312	DNpn00220123004		
2023-01-01T12:05:06	pn0022	0312	DNpn00220123005	OK	02,DNpn00220123005_inspection_image.bmp,
2023-01-01T12:05:22	pn0022	0312	DNpn00220123006	NG	02,DNpn00220123006_inspection_image.bmp,Crack,181,322
2023-01-01T12:05:25	pn0022	0312	DNpn00220123007	NG	02,DNpn00220123007_inspection_image.bmp,Dust,608,199
2023-01-01T12:06:46	pn0022	0312	DNpn00220123008	NG	02,DNpn00220123008_inspection_image.bmp,Dust,701,371,Dust,112,354,Dust,299,413,Scratch,370,364
2023-01-01T12:07:35	pn0022	0312	DNpn00220123009	NG	02,DNpn00220123009_inspection_image.bmp,Scratch,481,297,Crack,305,450,Scratch,509,404,Crack,697,387,Scratch,753,325,Crack,494,420
2023-01-01T12:08:10	pn0022	0312	DNpn00220123010	OK	02,DNpn00220123010_inspection_image.bmp,
2023-01-01T12:11:14	pn0022	0312	DNpn00220123011	NG	02,DNpn00220123011_inspection_image.bmp,Dent,667,302,Crack,815,383,Scratch,620,514
2023-01-01T12:11:57	pn0022	0312	DNpn00220123012	NG	02,DNpn00220123012_inspection_image.bmp,Dent,517,419,Dust,284,285,Dust,783,461,Scratch,496,443,Dent,568,360
2023-01-01T12:12:50	pn0022	0312	DNpn00220123013	OK	02,DNpn00220123013_inspection_image.bmp,
2023-01-01T12:13:01	pn0022	0312	DNpn00220123014	NG	02,DNpn00220123014_inspection_image.bmp,Scratch,886,405,Crack,575,261
2023-01-01T12:15:03	pn0022	0312	DNpn00220123015	NG	02,DNpn00220123015_inspection_image.bmp,Dust,583,386,Dust,367,386,Crack,502,351,Dust,585,291
2023-01-01T12:18:36	pn0022	0312	DNpn00220123016	NG	02,DNpn00220123016_inspection_image.bmp,Dust,816,366
2023-01-01T12:19:38	pn0022	0312	DNpn00220123017	NG	02,DNpn00220123017_inspection_image.bmp,Scratch,863,399,Dent,711,371,Dent,835,430
2023-01-01T12:22:59	pn0022	0312	DNpn00220123018	OK	02,DNpn00220123018_inspection_image.bmp,
2023-01-01T12:26:09	pn0022	0312	DNpn00220123019	NG	02,DNpn00220123019_inspection_image.bmp,Dust,496,434,Dust,483,447,Dust,442,366
2023-01-01T12:26:20	pn0022	0312	DNpn00220123020	NG	02,DNpn00220123020_inspection_image.bmp,Crack,284,331,Scratch,695,330,Dent,799,313
2023-01-01T12:26:39	pn0022	0312	DNpn00220123021	OK	02,DNpn00220123021_inspection_image.bmp,
2023-01-01T12:26:42	pn0022	0312	DNpn00220123022	NG	02,DNpn00220123022_inspection_image.bmp,Dust,614,585,Crack,296,358
2023-01-01T12:30:37	pn0022	0312	DNpn00220123023	NG	02,DNpn00220123023_inspection_image.bmp,Scratch,896,428
2023-01-01T12:31:54	pn0022	0312	DNpn00220123024	OK	02,DNpn00220123024_inspection_image.bmp,
2023-01-01T12:32:23	pn0022	0312	DNpn00220123025	OK	02,DNpn00220123025_inspection_image.bmp,
2023-01-01T12:33:16	pn0022	0312	DNpn00220123026	NG	02,DNpn00220123026_inspection_image.bmp,Scratch,618,391,Dent,293,385,Scratch,668,319
